id;Date;HStart;HEnd;Summary;TD;Location;Description
776;2023-10-24:;11:30:00;13:30:00;Anglais1;TP3;LabomultimédiaA105;::1ATP3:GORDONNATHALIE::(Updated:21/10/202313:33)
777;2023-10-19:;13:30:00;15:30:00;Anglais1;TP3;LabomultimédiaA109;::1ATP3:GORDONNATHALIE::(Updated:06/10/202318:42)
778;2023-11-24:;12:30:00;14:30:00;SAE12;TDC-PT;C1bis,B6;::1ATDC::(Updated:20/11/202310:08)
779;2024-01-11:;09:00:00;11:00:00;Anglais1;TP4;LabomultimédiaA105;::1ATP4:GORDONNATHALIE::(Updated:03/12/202313:22)
780;2023-11-29:;12:30:00;14:30:00;Init-Rés1;Examen;SalleexamenMPC003;::1A:FREITASANTONIO::(Updated:09/11/202312:46)
781;2023-09-28:;11:30:00;13:30:00;Syst1;TDA;B3;::1ATDA:JACQUETFREDERIQUE::(Updated:18/09/202313:53)
782;2023-12-15:;13:00:00;15:00:00;PPP1;TDC;B2;::1ATDC:MAYETKARINE::(Updated:20/11/202310:50)
783;2023-10-26:;06:00:00;08:00:00;Prog1;TP2;B3;::1ATP2:ZAYENEMARIEM::(Updated:11/10/202320:11)
784;2023-09-28:;13:30:00;15:30:00;Prog1;TP2;C5;::1ATP2:ZAYENEMARIEM::(Updated:24/08/202319:32)
785;2023-11-21:;08:00:00;11:00:00;Archi-Sys1;TP4;C7;::1ATP4:PERRIOTROMAIN::(Updated:31/10/202318:33)
786;2023-11-17:;09:00:00;11:00:00;Com1;TP1;B7;::1ATP1:GIRAUDNADINE::(Updated:24/10/202313:48)
787;2023-10-02:;11:30:00;13:30:00;Math-Signal1;TDC;A6;::1ATDC:BOUAYEDAYMENE::(Updated:10/10/202311:17)
788;2023-10-27:;09:00:00;10:00:00;SAE11;TP5;B8;::1ATP5:JACQUETFREDERIQUE::(Updated:10/10/202313:16)
789;2023-12-13:;09:00:00;11:00:00;RLAN1;TDA;C1bis;::1ATDA:FREITASANTONIO::(Updated:09/11/202316:18)
790;2024-01-08:;12:30:00;14:30:00;Prog1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:27/11/202315:02)
791;2023-12-14:;09:00:00;11:00:00;PPP1;TDA;B7;::1ATDA:GIRAUDNADINE::(Updated:09/11/202316:23)
792;2023-12-22:;07:00:00;09:00:00;Math-Trans1;TDB;A6;::1ATDB:BENGANAFAYCAL::(Updated:25/10/202311:50)
793;2023-12-21:;14:30:00;16:30:00;SAE15;TDA;B8;::1ATDA:HABACHIOUSSAMA::(Updated:20/11/202310:36)
794;2023-11-08:;15:30:00;18:30:00;Init-Rés1;TP1;B8;::1ATP1:BROSLAURENT::(Updated:19/10/202316:50)
795;2023-11-06:;12:30:00;14:30:00;Math-Signal1;TDC;A5;::1ATDC:BOUAYEDAYMENE::(Updated:25/10/202311:45)
796;2023-11-14:;08:00:00;09:00:00;SAE14;Cours;A5-A5bis;::1A:GIRAUDNADINE::(Updated:14/11/202310:01)
797;2023-09-21:;06:00:00;08:00:00;Syst1;TDB;B3;::1ATDB:JACQUETFREDERIQUE::(Updated:07/07/202313:12)
798;2023-09-29:;08:00:00;10:00:00;Telecom1;TDC;A5;::1ATDC:CAPALLERAFLORENCE::(Updated:24/09/202318:40)
799;2023-12-04:;14:30:00;17:30:00;Archi-Sys1;TP5;B6;::1ATP5:PERRIOTROMAIN::(Updated:09/11/202312:57)
800;2023-11-08:;09:00:00;11:00:00;Prog1;TP3;B8;::1ATP3:ZAYENEMARIEM::(Updated:07/11/202317:02)
801;2024-01-12:;08:00:00;11:00:00;SAE13;TP2;C1;::1ATP2:CAPALLERAFLORENCE::(Updated:27/11/202315:55)
802;2024-01-08:;14:30:00;16:30:00;Anglais1;TP5;LabomultimédiaA105;::1ATP5:GORDONNATHALIE::(Updated:03/12/202313:21)
803;2023-11-23:;09:00:00;11:00:00;Prog1;TP3;B1bis;::1ATP3:ZAYENEMARIEM::(Updated:31/10/202319:13)
804;2023-11-16:;15:00:00;17:00:00;Anglais1;TP3;LabomultimédiaA105;::1ATP3:GORDONNATHALIE::(Updated:21/10/202313:33)
805;2023-10-02:;08:00:00;10:00:00;Math-Signal1;TDB;A5;::1ATDB:COURSIMAULTDAVID::(Updated:11/09/202315:41)
806;2023-10-09:;11:30:00;13:30:00;Prog1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:03/10/202317:50)
807;2023-10-16:;08:00:00;10:00:00;Syst1;TDA;B3;::1ATDA:JACQUETFREDERIQUE::(Updated:05/10/202318:44)
808;2023-12-04:;12:30:00;14:30:00;Prog1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:28/11/202318:27)
809;2024-01-11:;15:00:00;17:00:00;SAE15;TP4;B3;::1ATP4:PERRIOTROMAIN::(Updated:11/01/202410:05)
810;2023-11-23:;14:30:00;16:30:00;Anglais1;TP3;LabomultimédiaA105;::1ATP3:GORDONNATHALIE::(Updated:21/10/202313:33)
811;2024-01-12:;12:30:00;14:30:00;SAE15;TDB-PT;C1bis,C5;::1ATDB::(Updated:27/11/202316:18)
812;2023-10-19:;06:00:00;08:00:00;Math-Signal1;TDA;A8;::1ATDA:MATARHOUSSEIN::(Updated:28/09/202311:28)
813;2023-10-26:;08:00:00;10:00:00;Syst1;TP2;C5;::1ATP2:JACQUETFREDERIQUE::(Updated:10/10/202318:34)
814;2023-09-22:;12:00:00;14:00:00;PPP1;TDC;B7;::1ATDC:MAYETKARINE::(Updated:20/11/202310:41)
815;2023-09-15:;08:00:00;09:00:00;SAE12;Cours;A5-A5bis;::1A:HERNANDEZSEBASTIEN::(Updated:08/09/202313:01)
816;2023-11-24:;09:00:00;11:00:00;SAE12;TDA;B3;::1ATDA:HERNANDEZSEBASTIEN::(Updated:14/11/202310:36)
817;2023-11-28:;12:00:00;15:00:00;Archi-Rés1;TP2;C1bis;::1ATP2:HERNANDEZSEBASTIEN::(Updated:09/11/202311:25)
818;2023-10-23:;08:00:00;10:00:00;Elec1;TDA;A5;::1ATDA:CAPALLERAFLORENCE::(Updated:10/10/202313:01)
819;2023-10-24:;08:00:00;10:00:00;Web1;TDC;C5;::1ATDC:PERRIOTROMAIN::(Updated:10/10/202318:40)
820;2024-01-26:;14:00:00;15:30:00;SAE12;TP5;C7;::1ATP5:HERNANDEZSEBASTIEN::(Updated:27/11/202315:52)
821;2023-10-12:;08:00:00;10:00:00;SAE11;TDA;B7;::1ATDA:GIRAUDNADINE::(Updated:03/10/202311:24)
822;2024-01-15:;09:00:00;11:00:00;Math-Trans1;TDA;B6;::1ATDA:COURSIMAULTDAVID::(Updated:19/12/202312:36)
823;2023-09-18:;08:00:00;09:00:00;Init-Rés1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:11/07/202317:09)
824;2024-01-10:;15:30:00;18:30:00;Archi-Rés1;TP1;B8;::1ATP1:BROSLAURENT::(Updated:09/11/202311:22)
825;2023-12-05:;09:00:00;10:00:00;RLAN1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:09/11/202312:52)
826;2023-10-12:;06:00:00;08:00:00;Syst1;TP2;C5;::1ATP2:JACQUETFREDERIQUE::(Updated:03/10/202311:25)
827;2023-09-19:;13:30:00;15:30:00;Prog1;TDC;C5;::1ATDC:PERRIOTROMAIN::(Updated:12/09/202316:45)
828;2023-11-14:;14:30:00;16:30:00;Prog1;TP1;C5;::1ATP1:SIGURETARNAUD::(Updated:31/10/202317:58)
829;2023-09-29:;06:00:00;08:00:00;Math-Signal1;TDA;A8;::1ATDA:MATARHOUSSEIN::(Updated:25/09/202311:14)
830;2024-01-16:;12:00:00;15:00:00;SAE13;TP5;C1;::1ATP5:CAPALLERAFLORENCE::(Updated:27/11/202315:49)
831;2023-09-29:;08:00:00;10:00:00;SAE11;TDA;B3;::1ATDA:JACQUETFREDERIQUE::(Updated:24/08/202319:14)
832;2024-01-31:;13:30:00;14:30:00;Téléphonie2;Cours;A5-A5bis;::1A:TOUSSAINTJOEL::(Updated:08/01/202417:44)
833;2023-11-06:;14:30:00;16:30:00;Web1;TDA;B3;::1ATDA:ZAYENEMARIEM::(Updated:25/10/202311:44)
834;2023-11-22:;09:00:00;11:00:00;SAE14;TDC;B8;::1ATDC:HABACHIOUSSAMA::(Updated:16/11/202316:43)
835;2023-11-07:;12:30:00;14:30:00;Anglais1;TP2;B2;::1ATP2:BEIGNONDAGOSTINOLAURE::(Updated:29/10/202318:04)
836;2023-12-15:;07:00:00;09:00:00;SAE12;TDA;B8;::1ATDA:HERNANDEZSEBASTIEN::(Updated:09/11/202316:43)
837;2023-10-11:;08:00:00;10:00:00;Syst1;TDC;C5;::1ATDC:JACQUETFREDERIQUE::(Updated:25/09/202317:09)
838;2023-10-02:;07:00:00;08:00:00;Elec1;Cours;A5-A5bis;::1A:CAPALLERAFLORENCE::(Updated:25/08/202312:07)
839;2024-01-23:;12:30:00;14:30:00;SAE15;TP2;B3;::1ATP2:HAYEKFREDERIC::(Updated:27/11/202316:23)
840;2024-01-17:;12:00:00;15:00:00;RLAN1;TP1;B8;::1ATP1:CHEBBISAMAR::(Updated:27/11/202315:27)
841;2023-09-21:;11:30:00;13:30:00;SAE11;TDC;C5;::1ATDC:JACQUETFREDERIQUE::(Updated:11/09/202316:18)
