dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2023-10-09T13:30:00Z","2023-10-09T15:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313738322d302d34","","1970-01-01T00:00:00Z","\n\n1ATDA\nGIRAUD NADINE\n\n(Updated :25/09/2023 17:03)","2023-09-25T15:03:00Z","B7","2140911043","","Com1 : TDA",""
"2023-10-12T13:30:00Z","2023-10-12T15:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d36303433312d302d31","","1970-01-01T00:00:00Z","\n\n1ATP1\n1ATP2\n1ATP3\n1ATP4\n1ATP5\n\n(Updated :25/09/2023 17:05)","2023-09-25T15:05:00Z","","2140911045","","Fête de la science",""
"2023-10-27T11:00:00Z","2023-10-27T13:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32363636332d302d31","","1970-01-01T00:00:00Z","\n\n1ATP5\nBEIGNON D AGOSTINO LAURE\n\n(Updated :27/10/2023 10:34)","2023-10-27T08:34:00Z","B2","2140956734","","Anglais1 : TP5",""
"2023-09-22T11:30:00Z","2023-09-22T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313830322d302d31","","1970-01-01T00:00:00Z","\n\n1ATDA\nCAPALLERA FLORENCE\n\n(Updated :11/07/2023 17:13)","2023-07-11T15:13:00Z","A5bis","2140801613","","Telecom1 : TDA",""
"2023-10-12T08:00:00Z","2023-10-12T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383833322d302d33","","1970-01-01T00:00:00Z","\n\n1ATDA\nGIRAUD NADINE\n\n(Updated :03/10/2023 11:24)","2023-10-03T09:24:00Z","B7","2140922224","","SAE11-TDA",""
"2023-12-01T12:30:00Z","2023-12-01T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313835302d302d32","","1970-01-01T00:00:00Z","\n\n1ATDB\nFREITAS ANTONIO\n\n(Updated :27/11/2023 15:18)","2023-11-27T14:18:00Z","B3","2141001718","","Archi-Rés1 : TDB",""
"2023-11-30T12:30:00Z","2023-11-30T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313739352d302d33","","1970-01-01T00:00:00Z","\n\n1ATDA\nCOURSIMAULT DAVID\n\n(Updated :27/11/2023 10:58)","2023-11-27T09:58:00Z","A5bis","2141001458","","Math-Trans1 : TDA",""
"2023-10-23T11:30:00Z","2023-10-23T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333337302d302d33","","1970-01-01T00:00:00Z","\n\n1ATDC\nCAPALLERA FLORENCE\n\n(Updated :10/10/2023 18:40)","2023-10-10T16:40:00Z","A5bis","2140932740","","Elec1 : TDC",""
"2023-11-15T09:00:00Z","2023-11-15T09:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32333236382d302d30","","1970-01-01T00:00:00Z","\n\n1A\n\n(Updated :13/11/2023 09:41)","2023-11-13T08:41:00Z","A5-A5bis","2140981221","","Information BDE",""
"2023-12-14T12:30:00Z","2023-12-14T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323031382d302d31","","1970-01-01T00:00:00Z","\n\n1ATP2\nGORDON NATHALIE\n\n(Updated :13/11/2023 13:03)","2023-11-13T12:03:00Z","Labo multimédia A105","2140981423","","Anglais1 : TP2",""
